World Happiness Report 2022|This year marks the 10th anniversary of the World Happiness Report, which uses global survey data to report how people evaluate their own lives in more than 150 countries worldwide. The World Happiness Report 2022 reveals a bright light in dark times. The pandemic brought not only pain and suffering but also an increase in social support and benevolence.|https://i.imgur.com/MptlYTW.jpg|https://pastebin.com/raw/Pyn4r3Dc
World GDP|WorldBank GDP, GDP growth, GDP per capita, and GDP per capita growth are used|https://i.imgur.com/567LnBH.jpg|https://pastebin.com/raw/7xfFKKv9
Fruit and Vegetable Prices in UK|Series of weekly average wholesale fruit and vegetable market prices in UK|https://i.imgur.com/9LIkSyj.jpg|https://pastebin.com/raw/XXvzjGNS
Fish market|Database of common fish species for fish market|https://i.imgur.com/LH0HCgb.jpg|https://pastebin.com/raw/Wjm9A2Md
2022 Ukraine Russia War|Equipment losses & Death Toll & Military Wounded & Prisoner of War of russians|https://i.imgur.com/3rVw5jh.png|https://pastebin.com/raw/ZiFfTe8Q
Cat vs. Dog Popularity in U.S|Cat vs. Dog Popularity in U.S|https://i.imgflip.com/db5xf.jpg|https://pastebin.com/raw/KTrpZdMf
Spotify top 50 songs in 2021|Top 50 songs listened in 2021 in Spotify|https://developer.spotify.com/assets/branding-guidelines/icon4@2x.png|https://pastebin.com/raw/RQFJZd9p
Marvel Movie dataset|Dataset shows raw and cleaned files with title,budget,revenue and reviews|https://i.imgur.com/k6wbiy6.png|https://pastebin.com/raw/n1SdDV1M
Defense contractors market cap, revenue, earnings|Market cap, revenue and earning of defense contractors|https://i.imgur.com/h6K0XQv.jpg|https://pastebin.com/raw/s7fGYDDm
Hollywood Theatrical Market Synopsis 1995 to 2021|This table lists various information such as the tickets sold each year along with its total box office (including adjusted box office due to inflammation) and average ticket price|https://imgur.com/a/ro7i3aO|https://pastebin.com/raw/74urVUSp
Netflix subscription fee in different countries|Which countries pay the most and least for Netflix in 2021?|https://imgur.com/WpU8RmU|https://pastebin.com/raw/wxxA29GK
Diabetes Dataset for Beginners|This dataset is originally from the National Institute of Diabetes and Digestive and Kidney Diseases. The objective of the dataset is to diagnostically predict whether or not a patient has diabetes, based on certain diagnostic measurements included in the dataset. Several constraints were placed on the selection of these instances from a larger database. In particular, all patients here are females at least 21 years old of Pima Indian heritage.|https://imgur.com/GvwQAQX|https://pastebin.com/raw/ejSXKXCV
Military power by country 2022|40+ measurements of military power by country in 2022.|https://i.imgur.com/bjf8OuN.jpg|https://pastebin.com/raw/AEYQB2kT
Heart Failure Prediction Dataset|Cardiovascular diseases (CVDs) are the number 1 cause of death globally, taking an estimated 17.9 million lives each year, which accounts for 31% of all deaths worldwide. Four out of 5CVD deaths are due to heart attacks and strokes, and one-third of these deaths occur prematurely in people under 70 years of age. Heart failure is a common event caused by CVDs and this dataset contains 11 features that can be used to predict a possible heart disease.|https://imgur.com/5z6dngG|https://pastebin.com/raw/6b8fjy9j
Stardew Valley|Stardew Valley is a simulation role-playing video game developed by Eric "ConcernedApe" Barone. It initially released for Microsoft Windows in February 2016 before being ported to several other computer, console, and mobile platforms.|https://imgur.com/YWZjc2P|https://pastebin.com/raw/iCXf48GZ
